Year,Quarter,Town,3-room,4-room,5-room,Executive
2011,Q3,Marine Parade,*,*,*,-
2011,Q3,Pasir Ris,-,439000,500000,620000
2011,Q3,Punggol,-,475000,521500,*
2011,Q3,Queenstown,370000,651000,*,*
2011,Q3,Sembawang,-,415000,465000,525000
2011,Q3,Sengkang,-,450000,511000,590000
2011,Q3,Serangoon,340000,467500,565000,*
2011,Q3,Tampines,356000,450000,525000,630000
2011,Q3,Toa Payoh,348000,481500,645000,*
2011,Q3,Woodlands,302500,392000,446500,565000
2011,Q3,Yishun,312000,382000,487000,574500
2011,Q2,Ang Mo Kio,340800,445500,599000,*
2011,Q2,Bedok,325500,420000,530000,*
2011,Q2,Bishan,*,527000,647300,*
2011,Q2,Bukit Batok,314500,421000,568000,*
2011,Q2,Bukit Merah,374000,595900,715000,-
2011,Q2,Bukit Panjang,320000,394000,475000,570500
2011,Q2,Bukit Timah,*,*,*,-
2011,Q2,Central,*,*,*,-
2011,Q2,Choa Chu Kang,*,406500,458000,550000
2011,Q2,Clementi,365000,500000,*,*
2011,Q2,Geylang,308000,461500,638000,*
2011,Q2,Hougang,325000,420000,505000,607000
2011,Q2,Jurong East,321000,430000,506500,*
2011,Q2,Jurong West,310000,404500,470000,566000
2011,Q2,Kallang/Whampoa,330000,480000,630000,*
2011,Q2,Marine Parade,413500,*,*,-
2011,Q2,Pasir Ris,*,427000,487500,587500
2011,Q2,Punggol,-,460400,518000,*
2011,Q2,Queenstown,352500,*,*,*
2011,Q2,Sembawang,-,403000,453500,*
2011,Q2,Sengkang,-,450000,503000,596000
2011,Q2,Serangoon,330000,439000,520000,*
2011,Q2,Tampines,348000,445000,521500,630000
2011,Q2,Toa Payoh,338000,540000,666000,*
2011,Q2,Woodlands,300000,382500,435000,540000
2011,Q2,Yishun,307000,377000,460000,*
2011,Q1,Ang Mo Kio,330000,423000,610000,-
2011,Q1,Bedok,311500,401000,550000,*
2011,Q1,Bishan,*,493000,630000,*
2011,Q1,Bukit Batok,300000,401000,566500,600000
2011,Q1,Bukit Merah,350000,589000,696000,-
2011,Q1,Bukit Panjang,300000,381000,449500,529000
2011,Q1,Bukit Timah,*,*,*,*
2011,Q1,Central,411000,*,*,-
2011,Q1,Choa Chu Kang,*,388000,440500,546000
2011,Q1,Clementi,350000,475000,*,*
2011,Q1,Geylang,295000,471000,651500,*
2011,Q1,Hougang,311000,398000,480000,550000
2011,Q1,Jurong East,311500,404000,500900,*
2011,Q1,Jurong West,286000,390000,454000,548000
2011,Q1,Kallang/Whampoa,336500,480250,605000,*
2011,Q1,Marine Parade,*,*,*,-
2011,Q1,Pasir Ris,*,415000,485000,585000
2011,Q1,Punggol,-,445000,505000,*
2011,Q1,Queenstown,336000,644000,*,*
2011,Q1,Sembawang,-,395000,440000,502500
2011,Q1,Sengkang,-,425500,485000,575000
2011,Q1,Serangoon,324500,410000,507000,*
2011,Q1,Tampines,340000,433000,498000,601000
2011,Q1,Toa Payoh,323800,509000,662000,*
2011,Q1,Woodlands,285000,368000,420000,530000
2011,Q1,Yishun,297500,358000,453000,*
2010,Q4,Ang Mo Kio,318000,418000,590800,-
2010,Q4,Bedok,300000,397000,512000,*
2010,Q4,Bishan,*,463000,615000,*
2010,Q4,Bukit Batok,293000,382000,548400,577500
2010,Q4,Bukit Merah,343500,555000,690000,-
2010,Q4,Bukit Panjang,298000,369000,425000,516000
2010,Q4,Bukit Timah,*,*,*,-
2010,Q4,Central,*,*,*,-
2010,Q4,Choa Chu Kang,*,373500,437300,529000
2010,Q4,Clementi,341000,495000,*,*
2010,Q4,Geylang,285000,458000,*,*
2010,Q4,Hougang,305000,388000,465000,567500
2010,Q4,Jurong East,305000,378000,475000,*
2010,Q4,Jurong West,271500,377000,451500,502000
2010,Q4,Kallang/Whampoa,317000,465000,*,*
2010,Q4,Marine Parade,*,*,*,-
2010,Q4,Pasir Ris,*,400000,468000,565000
2010,Q4,Punggol,-,426400,494000,*
2010,Q4,Queenstown,330000,573000,*,*
2010,Q4,Sembawang,-,390000,423900,500000
2010,Q4,Sengkang,-,411500,467000,570000
2010,Q4,Serangoon,317000,399500,*,*
2010,Q4,Tampines,326000,412000,472300,587500
2010,Q4,Toa Payoh,315000,456500,630000,*
2010,Q4,Woodlands,275000,356000,409000,507000
2010,Q4,Yishun,285000,342000,440000,*
2010,Q3,Ang Mo Kio,310000,418000,580000,-
2010,Q3,Bedok,300000,384000,504000,*
2010,Q3,Bishan,*,460000,593000,*
2010,Q3,Bukit Batok,290000,385000,539000,573000
2010,Q3,Bukit Merah,345000,558000,662000,-
2010,Q3,Bukit Panjang,287400,351500,457000,560000
2010,Q3,Bukit Timah,*,*,*,*
2010,Q3,Central,386000,*,*,-
2010,Q3,Choa Chu Kang,*,369000,425000,491900
2010,Q3,Clementi,340400,462500,*,*
2010,Q3,Geylang,276000,450000,*,*
2010,Q3,Hougang,292000,384000,459000,545000
