Module,Group,Quota,No_of_Bidders,Lowest_Bid,Lowest_Succ_Bid,Highest_Bid,Faculty,newStudent,pAcc,gAcc,Bid_Round,Acad_Yr,Semester
CS1010,SECTIONAL TEACHING 3,3,11,100,666,839,SCHOOL OF COMPUTING,2,0,1,2B,2011,2
CS1010,SECTIONAL TEACHING 1,5,14,344,797,2401,SCHOOL OF COMPUTING,2,1,1,3A,2011,2
CS1010,SECTIONAL TEACHING 2,9,24,135,803,1000,SCHOOL OF COMPUTING,2,1,1,3A,2011,2
CS1010,SECTIONAL TEACHING 1,2,10,646,816,1038,SCHOOL OF COMPUTING,2,1,1,3B,2011,2
CS1010,SECTIONAL TEACHING 2,1,10,1,1195,1195,SCHOOL OF COMPUTING,2,1,1,3B,2011,2
CS1010,SECTIONAL TEACHING 1,5,13,272,401,595,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 2,8,21,1,436,543,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 3,8,16,89,450,591,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 5,12,21,1,402,585,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 6,1,2,301,303,303,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 7,1,2,98,101,101,SCIENCE,1,1,0,1C,2012,1
CS1010,SECTIONAL TEACHING 1,4,7,1,380,591,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 3,2,3,2,407,409,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 4,3,6,290,440,598,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 5,5,8,4,291,593,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 6,5,7,262,407,597,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 7,6,7,201,303,592,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 8,4,7,214,501,598,SCIENCE,1,1,0,2B,2012,1
CS1010,SECTIONAL TEACHING 5,1,8,289,1499,1499,SCHOOL OF COMPUTING,2,1,1,3A,2012,1
CS1010,SECTIONAL TEACHING 5,1,5,2,3200,3200,SCHOOL OF COMPUTING,2,1,1,3B,2012,1
CS1010,SECTIONAL TEACHING 1,5,4,411,1,1277,SCIENCE,0,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 1,12,22,24,513,961,SCIENCE,1,1,0,1A,2012,2
CS1010,SECTIONAL TEACHING 1,4,2,1,1,2,SCHOOL OF COMPUTING,1,1,0,1A,2012,2
